Country,Happiness Score,Education Expenditure,Urban Population Proportion,Unemployment Rate,Life expectancy at birth (females),Life expectancy at birth (males),Average Life Expectancy,GDP per capita (current US$),Health Expenditure,Improved Water Access (%),Physicians Density,Safe Sanitation Access(%),Region,Suicide Rate
Jordan,5.335999966,,83.7,13.4,75.5,72.2,73.85,4940.1,7.5,98.75,2.6,81.68932227,Asia,1.8666666666666665
Hungary,5.323999882,4.7,71.2,4.5,78.8,71.7,75.25,12350.6,7.4,98.19999999999999,3.3,86.904568,Europe,13.0
Jamaica,5.31099987,5.5,54.8,13.1,77.9,73.1,75.5,5105.8,5.4,82.0,,58.81790636494259,Caribbean,2.2333333333333334
Croatia,5.293000221,4.6,59.0,11.7,80.4,73.6,77.0,11479.4,7.8,96.8,3.1,71.69353866,Europe,11.133333333333333
China,5.272999763,,55.6,4.6,77.2,74.2,75.7,8109.1,5.5,75.15,1.5,60.09072637,Asia,6.933333333333334
Pakistan,5.269000053,2.6,38.8,5.9,66.8,65.0,65.9,1410.4,2.6,67.1,0.8,49.5839761082445,Asia,9.9
Indonesia,5.262000084,3.6,53.7,5.8,70.7,66.6,68.65,3346.5,2.8,59.9,0.2,45.21991810891227,Asia,2.6
Montenegro,5.236999989,,64.0,17.4,78.8,74.0,76.4,6424.1,6.4,95.1,2.3,43.33861243,Europe,16.566666666666666
Morocco,5.235000134,,60.2,10.4,76.0,73.7,74.85,2919.3,5.9,74.8,0.6,38.37603783,Africa,7.366666666666667
Azerbaijan,5.234000206,2.6,54.6,5.2,74.6,68.6,71.6,5438.7,6.0,89.1,3.4,22.78796404,Asia,3.966666666666667
Dominican Republic,5.230000019,,79.0,14.4,76.4,70.2,73.30000000000001,6373.6,4.4,80.95,1.5,57.59209924674627,Caribbean,6.066666666666666
Greece,5.227000237,,78.0,23.0,83.3,78.0,80.65,17788.0,8.1,98.65,6.3,89.39438524,Europe,3.7999999999999994
Lebanon,5.224999905,2.6,87.8,7.0,80.9,77.3,79.1,8571.4,6.4,80.7,2.4,15.75475375,Asia,3.0
Portugal,5.195000172,5.1,63.5,10.5,83.5,77.3,80.4,19239.2,9.5,99.69999999999999,4.4,82.78225037,Europe,8.066666666666666
Bosnia and Herzegovina,5.18200016,,39.8,25.4,78.8,73.7,76.25,4265.0,9.6,95.45,1.9,38.64421651,Europe,8.233333333333333
Honduras,5.181000233,5.9,54.7,5.6,75.4,70.4,72.9,2521.9,8.7,82.2,,48.5590408,America,2.766666666666667
Somalia,5.151000023,,39.6,6.6,56.5,53.3,54.9,144.5,,29.15,0.0,28.8495718,Africa,15.033333333333333
