Country,CountryCode,Year,SuicideRate,SuicideRateRange
Trinidad and Tobago,TTO,2017,9.0,[5.9-13.0]
Mali,MLI,2017,5.8,[3.3-9.4]
Ethiopia,ETH,2017,14.5,[10.1-20.8]
Niger,NER,2017,6.4,[3.7-10.6]
Costa Rica,CRI,2017,5.8,[4.4-18.1]
Romania,ROU,2017,13.5,[11.4-15.8]
Zambia,ZMB,2017,16.7,[10.3-25.4]
,WB_HI,2017,17.1,[14.8-21.6]
Israel,ISR,2017,2.3,[1.8-2.9]
Panama,PAN,2017,0.9,[0.7-1.3]
Morocco,MAR,2017,9.8,[4.4-17.5]
Burundi,BDI,2017,6.6,[3.9-10.6]
Guinea-Bissau,GNB,2017,13.1,[7.4-21.3]
Australia,AUS,2017,17.7,[15.2-30.4]
Burundi,BDI,2017,19.4,[11.7-31.4]
Cameroon,CMR,2017,25.7,[15.4-39.9]
Slovenia,SVN,2017,5.3,[3.9-7.0]
Nicaragua,NIC,2017,4.7,[3.4-6.4]
Burundi,BDI,2017,12.5,[7.4-20.2]
Italy,ITA,2017,4.8,[4.5-5.3]
North Macedonia,MKD,2017,7.2,[5.0-10.1]
Armenia,ARM,2017,0.9,[0.7-1.2]
France,FRA,2017,16.3,[13.7-22.6]
Myanmar,MMR,2017,5.3,[3.3-7.9]
,AMR,2017,9.2,[8.2-12.9]
Barbados,BRB,2017,0.3,[0.2-0.4]
Jamaica,JAM,2017,1.0,[0.7-1.4]
United Republic of Tanzania,TZA,2017,13.4,[8.5-20.2]
Oman,OMN,2017,4.5,[2.7-7.6]
,EMR,2017,9.4,[4.8-16.4]
Bhutan,BTN,2017,6.8,[3.7-11.7]
Mauritania,MRT,2017,5.4,[2.8-9.7]
Democratic Republic of the Congo,COD,2017,12.0,[7.3-19.0]
Latvia,LVA,2017,5.5,[3.8-7.7]
Sudan,SDN,2017,4.8,[2.4-8.4]
Serbia,SRB,2017,0.3,[0.2-0.4]
Bulgaria,BGR,2017,6.7,[5.0-8.6]
Ghana,GHA,2017,2.0,[1.2-3.1]
United Kingdom of Great Britain and Northern Ireland,GBR,2017,11.1,[10.6-11.7]
Sweden,SWE,2017,12.5,[10.9-14.2]
Sao Tome and Principe,STP,2017,2.2,[1.2-3.6]
Sri Lanka,LKA,2017,13.7,[9.1-22.3]
Singapore,SGP,2017,7.3,[5.9-8.7]
Ecuador,ECU,2017,14.5,[7.4-19.1]
Samoa,WSM,2017,7.8,[4.0-12.6]
Libya,LBY,2017,3.2,[1.8-5.3]
Botswana,BWA,2017,38.6,[21.2-64.8]
Cote d'Ivoire,CIV,2017,16.4,[9.8-25.5]
Sierra Leone,SLE,2017,10.9,[6.0-18.2]
Türkiye,TUR,2017,1.2,[0.9-1.7]
Bulgaria,BGR,2017,11.0,[8.4-14.1]
Lebanon,LBN,2017,1.7,[1.0-2.8]
Mauritania,MRT,2017,3.8,[2.1-6.2]
Ukraine,UKR,2017,4.5,[3.5-5.6]
Oman,OMN,2017,6.5,[3.9-10.8]
Liberia,LBR,2017,7.6,[3.8-14.4]
,WB_LI,2017,15.3,[9.2-24.4]
Austria,AUT,2017,10.8,[9.2-12.6]
Panama,PAN,2017,3.2,[2.4-4.3]
Russian Federation,RUS,2017,24.4,[22.9-26.8]
Denmark,DNK,2017,8.3,[6.6-10.2]
Ireland,IRL,2017,15.0,[12.3-18.2]
Dominican Republic,DOM,2017,10.0,[6.0-15.9]
Cambodia,KHM,2017,8.6,[5.2-13.1]
Saudi Arabia,SAU,2017,5.7,[3.5-8.8]
Türkiye,TUR,2017,2.3,[1.6-3.2]
Ethiopia,ETH,2017,5.3,[3.8-7.1]
New Zealand,NZL,2017,18.2,[15.6-21.1]
Saint Vincent and the Grenadines,VCT,2017,0.0,[0.0-0.0]
Saint Vincent and the Grenadines,VCT,2017,0.0,[0.0-0.0]
Papua New Guinea,PNG,2017,3.5,[2.0-6.1]
